,0
H_H_0,11.735262210651307
H_H_1,11.700056608111261
H_H_2,10.296230617814068
H_H_3,31.892462832364714
H_C_0,7.283708203498166
H_C_1,7.974860039333466
H_C_2,10.9271041339132
H_C_3,17.93835199310383
H_N_0,2.9854308980295206
H_N_2,1.2683044413952662
H_N_3,3.50499741418064
H_O_0,3.865210157880096
H_O_1,4.080892896397412
H_O_2,1.8572803049440127
H_S_1,0.5945720547459922
H_S_2,0.5721412486862656
C_H_0,8.218795364320242
C_H_1,7.680837722546208
C_H_2,7.0569870965201105
C_H_3,24.073161431486305
C_C_0,4.732856720167502
C_C_1,5.019518071829863
C_C_2,7.136117056177114
C_C_3,12.840275632446136
C_N_0,2.0155896187944315
C_N_2,0.842045920336859
C_N_3,2.493152567654044
C_O_0,2.222353989837843
C_O_1,2.339306049573812
C_O_2,1.1880817273372601
C_S_1,0.38685950755850396
C_S_2,0.4577444137702522
N_H_0,2.1554117223719533
N_H_1,1.9659474223235747
N_H_2,1.6683980896156643
N_H_3,5.209703199044236
N_C_0,1.4611175466872925
N_C_1,1.4244966853234349
N_C_2,1.8152102194509352
N_C_3,3.2857892978447736
N_N_0,0.5561272602364786
N_N_2,0.2197159234848536
N_O_0,0.7396248031777269
N_O_2,0.3228548819552998
N_S_2,0.10185638209409084
O_H_0,4.278502059176777
O_H_1,3.391454358660303
O_H_2,2.1982386872680797
O_H_3,6.320937511804238
O_C_0,2.2273673688305657
O_C_1,2.1918866376823476
O_C_2,2.3139927219088694
O_C_3,3.7592965248868406
O_N_0,1.153727608705266
O_N_2,0.29730956017726795
O_N_3,2.77415310993224
O_O_0,0.9544358791460469
O_O_1,1.024665047230426
O_O_2,0.38843692533233615
S_H_0,0.4205885321173489
S_H_1,0.4670646285477474
S_H_2,0.26377516251476907
S_H_3,1.0557520161890483
S_C_0,0.2671699153359268
S_C_1,0.37820003688971
S_C_2,0.30424250366258443
S_C_3,0.7602153673293299
S_O_0,0.11337197237798305
P_H_0,0.7068901609943363
P_H_1,0.4865264080887378
P_H_2,0.17711893549542218
P_H_3,0.7412567208952037
P_C_0,0.37408196038069974
P_C_1,0.31678267061790394
P_C_2,0.17724253877084584
P_C_3,0.521879716354571
P_O_0,0.14337952069262877
F_H_0,0.4896034986070199
F_H_1,0.5454544342385034
F_H_2,0.4282401900068584
F_H_3,1.632721945102287
F_C_0,0.3852409412715557
F_C_1,0.5099531277452134
F_C_2,0.45138095429550995
F_C_3,1.3697376145780775
Cl_H_0,0.27522284127711805
Cl_H_1,0.2755280097845467
Cl_H_2,0.24277265536710607
Cl_H_3,0.9484220518637422
Cl_C_0,0.21050707029246776
Cl_C_1,0.2333993220199649
Cl_C_2,0.2757961045023764
Cl_C_3,0.7451043342265532
Br_H_0,0.16731658763505497
Br_H_1,0.1294771907673645
Br_H_3,0.4611344043516098
Br_C_0,0.11315624313706484
Br_C_1,0.10434533710785723
Br_C_2,0.1011461074589149
Br_C_3,0.356628499033867
I_H_0,0.14360012850118944
I_H_1,0.10143843179034137
I_H_3,0.35549010485444554
I_C_3,0.23254659667301555
